horse_id,horse_name,sire,sire_id,sire_sire,sire_dam
2021106316,ミスターローズ,カレンブラックヒル,2009106230,ダイワメジャー,サンデーサイレンスSunday Silence(米)
2021106317,キラーインキラーズ,ミッキーグローリー,2013103999,ディープインパクト,サンデーサイレンスSunday Silence(米)
2021106319,ノーザー,カレンブラックヒル,2009106230,ダイワメジャー,サンデーサイレンスSunday Silence(米)
2021106320,ノイバラ,カレンブラックヒル,2009106230,ダイワメジャー,サンデーサイレンスSunday Silence(米)
2021106321,エメラルドフィジー,アドミラブル,2014105979,ディープインパクト,サンデーサイレンスSunday Silence(米)
2021106322,ケーリーバンド,ビーチパトロールBeach Patrol(米),000a0141f9,Lemon Drop Kid,Kingmambo(米)
2021106323,サンライズテラス,スワーヴリチャード,2014106083,ハーツクライ,サンデーサイレンスSunday Silence(米)
2021106326,ペイシャニット,カレンブラックヒル,2009106230,ダイワメジャー,サンデーサイレンスSunday Silence(米)
2021106328,クインズデネブ,カレンブラックヒル,2009106230,ダイワメジャー,サンデーサイレンスSunday Silence(米)
2021106331,サンセットビーチ,リオンディーズ,2013105915,キングカメハメハ,Kingmambo(米)
2021106332,ミルミナーヴァ,ヘニーヒューズHenny Hughes(米),000a011155,ヘネシーHennessy(米),Storm Cat(米)
2021106333,カネトシテミス,イスラボニータ,2011103565,フジキセキ,サンデーサイレンスSunday Silence(米)
2021106335,ナムラスカー,バゴBago(仏),2001190004,Nashwan,Blushing Groom(仏)
2021106336,モズブルーム,エピファネイア,2010104155,シンボリクリスエス,Kris S.
2021106338,リヴァーダンス,ニューイヤーズデイ,000a014589,Street Cry(愛),Machiavellian
2021106342,チリエージョドラマ,アニマルキングダムAnimal Kingdom(米),000a011dad,Leroidesanimaux,Candy Stripes
2021106345,ミルトコルサ,シュヴァルグラン,2012104759,ハーツクライ,サンデーサイレンスSunday Silence(米)
2021106346,ハナマツリ,マツリダゴッホ,2003104570,サンデーサイレンスSunday Silence(米),Halo
2021106347,ピクラリーダ,ブラックタイド,2001103312,サンデーサイレンスSunday Silence(米),Halo
2021106348,ジェットラン,ミッキーロケット,2013106099,キングカメハメハ,Kingmambo(米)
2021106350,ケイツートラール,ヴィクトワールピサ,2007102923,ネオユニヴァース,サンデーサイレンスSunday Silence(米)
2021106353,シグムンド,アポロキングダム,2003110139,Lemon Drop Kid,Kingmambo(米)
2021106355,ミルトヒーロー,ヴィクトワールピサ,2007102923,ネオユニヴァース,サンデーサイレンスSunday Silence(米)
2021106356,ジュネスヒマリ,グァンチャーレ,2012100407,スクリーンヒーロー,グラスワンダー
2021106359,バトンインディ,パイロPyro(米),000a01176a,Pulpit,A.P. Indy
2021106360,デフィニトリー,スワーヴリチャード,2014106083,ハーツクライ,サンデーサイレンスSunday Silence(米)
2021106361,ボナーテソーロ,Nathaniel(愛),000a011bdb,Galileo(愛),Sadler's Wells(米)
2021106362,センカラット,リアルインパクト,2008103244,ディープインパクト,サンデーサイレンスSunday Silence(米)
2021106365,ソウテンノヒカリ,ヘニーヒューズHenny Hughes(米),000a011155,ヘネシーHennessy(米),Storm Cat(米)
2021106366,ロアノークテソーロ,Nathaniel(愛),000a011bdb,Galileo(愛),Sadler's Wells(米)
2021106368,テーオーニコラス,パレスマリス,000a014a1a,Curlin(米),Smart Strike(加)
2021106369,チャンネルトンネル,グレーターロンドン,2012101402,ディープインパクト,サンデーサイレンスSunday Silence(米)
2021106370,チェイスザウィンド,ラブリーデイ,2010104298,キングカメハメハ,Kingmambo(米)
2021106372,イツツボシ,アジアエクスプレス,2011110091,ヘニーヒューズHenny Hughes(米),ヘネシーHennessy(米)
2021106376,タカラバディウス,モーニン,2012110091,ヘニーヒューズHenny Hughes(米),ヘネシーHennessy(米)
2021106378,キングスクラウン,ヨシダYoshida(安平町),2014106077,ハーツクライ,サンデーサイレンスSunday Silence(米)
2021106379,アエロプラニーノ,シルバーステート,2013105903,ディープインパクト,サンデーサイレンスSunday Silence(米)
2021106380,ドルフィンリング,ブラックタイド,2001103312,サンデーサイレンスSunday Silence(米),Halo
